201,16,6201,1568984918
201,16,6196,1569426874
201,16,6021,1569892080
201,16,6020,1569894538
201,16,6211,1569995328
201,16,6197,1569995507
201,16,6255,1570021503
201,16,6217,1570030165
201,16,6231,1570031104
201,16,6239,1570031726
201,16,6258,1570032067
201,16,6198,1570032462
201,16,6041,1570032768
201,16,6213,1570033143
201,16,6222,1570033439
201,16,6219,1570033573
201,16,6202,1570033636
201,16,6250,1570033749
201,16,6247,1570033872
201,16,6249,1570034011
201,16,6221,1570034175
201,16,6199,1570036798
201,16,6223,1570037164
201,16,6224,1570037299
201,16,6057,1570037518
201,16,6260,1570037572
201,16,6227,1570037804
201,16,6200,1570037877
201,16,6228,1570038191
201,16,6229,1570038296
201,16,6208,1570038414
201,16,6230,1570038612
201,16,6244,1570038997
201,16,6203,1570039141
201,16,6234,1570039646
201,16,6235,1570039887
201,16,6210,1570040017
201,16,6237,1570040121
201,16,6251,1570040498
201,16,6207,1570040614
201,16,6252,1570040857
201,16,6253,1570041014
201,16,6257,1570041241
201,16,6204,1570041350
201,16,6241,1570041487
201,16,6256,1570041747
201,16,6205,1570045358
201,16,6242,1570045673
201,16,6206,1570198782
201,16,6245,1570199226
201,16,6000,1570199630
201,16,6246,1570215848
201,16,6007,1570215932
201,16,6209,1570216350
